short_name,player_positions,value_eur,overall,potential,age,international_reputation,preferred_foot,weak_foot,skill_moves,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic
J. Deom,"CM, CAM",1100000.0,65,70,24,1,Right,3,2,175,65,72.0,51.0,64.0,70.0,58.0,49.0
R. McCrorie,GK,825000.0,65,70,25,1,Right,3,1,189,80,,,,,,
L. Lingman,"CM, CAM",1000000.0,65,70,25,1,Left,2,3,178,72,64.0,55.0,66.0,71.0,52.0,57.0
D. Anyembe,"RB, LB",1000000.0,65,70,24,1,Right,3,2,189,77,83.0,45.0,58.0,67.0,57.0,68.0
M. Nicolas,GK,825000.0,65,70,25,1,Right,2,1,193,89,,,,,,
A. Famewo,"CB, LB",975000.0,65,70,24,1,Left,3,2,187,66,72.0,22.0,38.0,48.0,64.0,75.0
R. Oaidă,"CM, CDM",1000000.0,65,70,25,1,Right,3,3,182,70,75.0,61.0,61.0,64.0,66.0,70.0
J. Kade,"CM, CDM",1100000.0,65,70,24,1,Left,3,3,182,73,69.0,50.0,64.0,69.0,62.0,50.0
N. Schiappacasse,"ST, LW, LM",1100000.0,65,70,24,1,Right,3,3,182,73,68.0,64.0,59.0,69.0,31.0,56.0
L. Freestone,"CB, LWB",975000.0,65,70,23,1,Left,2,2,187,74,71.0,33.0,51.0,59.0,62.0,73.0
F. Myhre,"CM, RB",1100000.0,65,70,24,1,Right,3,3,180,75,72.0,56.0,62.0,66.0,61.0,67.0
Mascarenhas,LB,1000000.0,65,70,24,1,Left,3,3,180,78,73.0,48.0,56.0,65.0,62.0,58.0
G. Roemeratoe,"CDM, CM",1000000.0,65,70,23,1,Right,3,3,178,74,70.0,44.0,59.0,62.0,64.0,72.0
B. House,ST,1100000.0,65,70,23,1,Right,3,3,180,74,67.0,65.0,48.0,61.0,45.0,77.0
J. Anziani,"CM, CDM",1100000.0,65,70,24,1,Right,3,2,175,77,60.0,54.0,67.0,66.0,59.0,55.0
C. Ehlich,"LWB, RWB",1000000.0,65,70,24,1,Right,4,3,170,68,71.0,43.0,58.0,63.0,57.0,54.0
T. Børkeeiet,"CDM, CB, CM",1000000.0,65,70,24,1,Right,3,2,188,81,54.0,51.0,58.0,60.0,63.0,73.0
B. Taz,"CAM, CF, LM",1100000.0,65,70,24,1,Right,3,4,175,72,73.0,61.0,61.0,70.0,31.0,58.0
A. Collins,CM,1100000.0,65,70,23,1,Right,4,2,175,63,71.0,57.0,62.0,66.0,61.0,69.0
Dai Weijun,"CM, RM",1100000.0,65,70,23,1,Right,4,3,177,68,73.0,65.0,65.0,72.0,46.0,61.0
Y. Clementia,GK,825000.0,65,70,25,1,Right,2,1,188,80,,,,,,
S. Farhan,"CDM, CM",950000.0,65,70,26,1,Right,2,2,175,72,63.0,42.0,51.0,57.0,62.0,78.0
T. Rönning,GK,875000.0,65,70,24,1,Right,3,1,201,88,,,,,,
Alfon,"LM, RM, ST",1100000.0,65,70,24,1,Right,3,3,172,63,76.0,64.0,59.0,67.0,32.0,56.0
A. Danzi,"CM, CDM",1100000.0,65,70,24,1,Right,4,3,175,75,60.0,47.0,66.0,66.0,60.0,59.0
T. Hamer,"RWB, RB, LWB",1000000.0,65,70,23,1,Right,4,2,188,80,70.0,48.0,57.0,60.0,60.0,82.0
W. Tchimbembé,"CM, LM, RM",1000000.0,65,70,25,1,Left,2,3,180,76,85.0,62.0,63.0,64.0,57.0,67.0
Y. Roche,CB,950000.0,65,70,25,1,Right,3,2,182,78,56.0,31.0,42.0,49.0,64.0,75.0
D. Jastrzembski,"LM, CF",1100000.0,65,70,23,1,Left,3,3,177,77,88.0,57.0,61.0,65.0,35.0,60.0
S. Guðjohnsen,ST,1100000.0,65,70,25,1,Left,2,2,189,80,47.0,64.0,47.0,62.0,33.0,72.0
A. Ciss,"LW, ST",1100000.0,65,70,23,1,Right,3,3,186,65,81.0,59.0,60.0,67.0,51.0,75.0
X. Emmers,"CM, RW",1100000.0,65,70,23,1,Right,4,3,178,74,71.0,57.0,64.0,66.0,58.0,66.0
S. Essende,ST,1100000.0,65,70,25,1,Right,3,3,192,87,72.0,63.0,45.0,59.0,25.0,74.0
L. Ihorst,ST,1100000.0,65,70,23,1,Right,4,2,190,89,79.0,62.0,50.0,59.0,29.0,72.0
B. Wiredu,"CB, CDM, CM",975000.0,65,70,23,1,Right,3,2,191,86,79.0,56.0,59.0,65.0,62.0,78.0
D. Politic,"LW, CAM, RW",1100000.0,65,70,23,1,Right,4,3,185,78,75.0,62.0,57.0,68.0,31.0,60.0
Yan Dinghao,"CM, CDM, CAM",1000000.0,65,70,25,1,Right,3,2,180,74,66.0,57.0,63.0,66.0,55.0,66.0
R. Cordano,GK,875000.0,65,70,24,1,Right,3,1,185,74,,,,,,
G. Simion,"CDM, CM",950000.0,65,70,25,1,Right,3,2,179,75,76.0,47.0,58.0,61.0,63.0,71.0
A. Vlad,GK,875000.0,65,70,24,1,Right,2,1,190,85,,,,,,
A. Ciobanu,"CAM, CM",1000000.0,65,70,25,1,Right,3,3,176,67,70.0,65.0,67.0,67.0,34.0,53.0
E. Bonds,CDM,1000000.0,65,70,23,1,Right,4,2,188,74,65.0,50.0,58.0,62.0,62.0,75.0
G. Merloi,"RM, CAM",1100000.0,65,70,23,1,Left,3,3,170,65,78.0,61.0,60.0,69.0,39.0,60.0
E. Hernández,CB,950000.0,65,70,25,1,Right,3,2,190,73,34.0,26.0,39.0,46.0,67.0,69.0
S. Rodríguez,"ST, LM",1100000.0,65,70,22,1,Right,3,2,172,58,65.0,67.0,48.0,63.0,27.0,56.0
M. Jensen,"CB, ST",925000.0,65,70,26,1,Right,2,2,195,85,47.0,50.0,46.0,54.0,62.0,78.0
D. Ouédraogo,"CB, LB",975000.0,65,70,24,1,Left,3,2,185,81,65.0,33.0,50.0,52.0,65.0,68.0
A. Ghion,CM,1100000.0,65,70,23,1,Right,2,2,177,70,61.0,45.0,65.0,66.0,59.0,56.0
S. Drljača,GK,875000.0,65,70,24,1,Right,3,1,192,92,,,,,,
K. Tsunemoto,RB,1000000.0,65,70,24,1,Right,3,2,175,69,67.0,43.0,55.0,59.0,63.0,55.0
L. Magnino,"CDM, CM, RB",950000.0,65,70,25,1,Right,3,3,185,82,74.0,53.0,61.0,62.0,62.0,70.0
J. Mercado,"CDM, RB",950000.0,65,70,26,1,Right,2,2,177,74,69.0,62.0,57.0,65.0,67.0,67.0
A. Boudah,"LW, ST, CF",1100000.0,65,70,23,1,Right,3,3,186,76,71.0,60.0,60.0,68.0,41.0,62.0
I. Vekič,GK,825000.0,65,70,25,1,Right,3,1,192,86,,,,,,
Rafael Santos,CB,950000.0,65,70,25,1,Left,2,2,184,78,60.0,26.0,43.0,43.0,65.0,66.0
M. Sivis,"RB, RWB",975000.0,65,70,25,1,Right,3,2,173,73,74.0,58.0,60.0,64.0,61.0,66.0
M. Alfarela,"ST, LW",1100000.0,65,70,25,1,Right,3,3,173,66,74.0,63.0,61.0,69.0,25.0,57.0
J. Campbell,"CM, CAM, CDM",1100000.0,65,70,23,1,Right,4,2,182,72,71.0,60.0,62.0,67.0,60.0,73.0
J. Camargo,GK,825000.0,65,70,25,1,Right,3,1,183,82,,,,,,
Bak Jae Yong,ST,1100000.0,65,70,23,1,Right,3,2,193,88,66.0,65.0,40.0,59.0,25.0,75.0
R. Castillo,ST,1100000.0,65,70,24,1,Right,3,2,187,80,76.0,63.0,51.0,61.0,21.0,58.0
G. Rodríguez,"RM, LM, CF",1100000.0,65,70,23,1,Right,3,3,178,72,68.0,65.0,59.0,70.0,33.0,53.0
H. Teklab,"RM, LM",1100000.0,65,70,24,1,Right,4,3,174,70,73.0,61.0,65.0,66.0,36.0,56.0
Dida,GK,825000.0,65,70,25,1,Right,2,1,197,87,,,,,,
P. Riveros,CB,950000.0,65,70,25,1,Right,3,2,185,78,66.0,25.0,42.0,55.0,65.0,68.0
Wallisson,"CM, RM, CDM",1000000.0,65,70,25,1,Right,3,2,184,73,73.0,53.0,62.0,63.0,64.0,66.0
C. Trueman,GK,750000.0,65,69,27,1,Right,3,1,186,74,,,,,,
L. Boeder,"CB, RWB",875000.0,65,69,26,1,Right,3,2,185,80,65.0,31.0,53.0,57.0,64.0,73.0
S. McWilliams,"CDM, CM",925000.0,65,69,24,1,Right,3,2,180,69,69.0,52.0,57.0,61.0,61.0,74.0
A. May,"CDM, CAM",900000.0,65,69,25,1,Right,2,2,182,73,72.0,62.0,63.0,64.0,59.0,68.0
C. Slattery,"CDM, CM",925000.0,65,69,24,1,Right,3,2,177,79,68.0,57.0,59.0,64.0,60.0,73.0
M. McGuane,"CDM, CM",925000.0,65,69,24,1,Right,3,3,178,73,75.0,47.0,62.0,68.0,58.0,71.0
L. Bolton,"RM, RW, RWB",1000000.0,65,69,23,1,Right,3,3,174,72,83.0,55.0,59.0,66.0,54.0,68.0
Verdasca,CB,875000.0,65,69,26,1,Right,3,2,185,81,64.0,37.0,49.0,55.0,63.0,76.0
M. Schubert,GK,775000.0,65,69,25,1,Right,3,1,187,82,,,,,,
S. Schreck,"CM, CDM",1000000.0,65,69,24,1,Right,3,3,180,63,64.0,49.0,63.0,68.0,59.0,48.0
T. Lowery,"CM, CDM",1000000.0,65,69,25,1,Right,3,3,168,75,76.0,56.0,62.0,70.0,58.0,52.0
Vitó,"CM, CAM",1000000.0,65,69,25,1,Left,3,3,180,67,68.0,61.0,60.0,66.0,57.0,68.0
K. Jakob,"LB, LM",925000.0,65,69,25,1,Left,3,2,183,72,80.0,40.0,57.0,62.0,57.0,63.0
A. Jung,ST,1000000.0,65,69,25,1,Right,3,3,190,85,56.0,65.0,46.0,62.0,30.0,76.0
J. Pantemis,GK,775000.0,65,69,26,1,Left,1,1,188,77,,,,,,
S. George,GK,775000.0,65,69,25,1,Right,3,1,191,79,,,,,,
E. Hamilton,"CM, CDM",1000000.0,65,69,24,1,Left,4,3,187,75,61.0,64.0,63.0,65.0,60.0,78.0
L. Rajot,"CM, CDM",1000000.0,65,69,25,1,Left,3,3,179,68,73.0,52.0,64.0,66.0,62.0,61.0
A. Scully,"LM, LW, RW",1000000.0,65,69,24,1,Right,3,3,173,66,81.0,61.0,58.0,68.0,34.0,56.0
D. Ajiboye,RM,1000000.0,65,69,24,1,Right,3,3,170,70,91.0,56.0,55.0,67.0,38.0,68.0
D. Mândroiu,"RW, LW",1000000.0,65,69,24,1,Right,4,4,180,73,64.0,64.0,64.0,67.0,51.0,61.0
W. Geubbels,"ST, LW",1100000.0,65,69,21,1,Right,3,3,185,81,78.0,64.0,57.0,68.0,26.0,50.0
G. Nurse,"LWB, CB",950000.0,65,69,24,1,Left,2,3,181,78,78.0,53.0,58.0,61.0,63.0,68.0
C. Hazard,GK,775000.0,65,69,25,1,Left,3,1,198,86,,,,,,
Z. Brault-Guillard,"RM, RWB, RB",1000000.0,65,69,24,1,Right,2,3,171,64,88.0,58.0,57.0,63.0,60.0,68.0
L. Ranger,RWB,950000.0,65,69,24,1,Right,2,2,176,73,83.0,49.0,55.0,63.0,57.0,70.0
K. Magennis,"CM, RM, LM",1000000.0,65,69,24,1,Right,3,3,181,73,70.0,65.0,65.0,65.0,58.0,73.0
Miguel Luís,"CM, CF",1000000.0,65,69,24,1,Right,4,3,178,73,64.0,63.0,66.0,66.0,58.0,56.0
N. Farrugia,"RWB, LWB",950000.0,65,69,24,1,Left,3,3,185,78,83.0,54.0,57.0,63.0,55.0,66.0
S. Sonnenberg,CB,925000.0,65,69,24,1,Right,3,2,194,83,62.0,28.0,43.0,49.0,64.0,75.0
S. Lahssaini,"CM, CDM",1000000.0,65,69,24,1,Right,2,3,179,74,65.0,58.0,62.0,68.0,63.0,62.0
A. Meroni,CB,875000.0,65,69,26,1,Right,3,2,188,80,55.0,39.0,41.0,45.0,65.0,75.0
J. Carrasco,CB,900000.0,65,69,25,1,Right,2,2,186,78,67.0,36.0,47.0,55.0,64.0,75.0
K. De La Hoz,RB,950000.0,65,69,24,1,Right,3,2,172,70,65.0,38.0,50.0,54.0,65.0,67.0
K. Tønnessen,"LWB, CB",925000.0,65,69,25,1,Left,2,2,184,76,72.0,46.0,60.0,58.0,61.0,65.0
T. Beason,"CB, LB",875000.0,65,69,26,1,Left,2,2,185,79,60.0,25.0,42.0,56.0,66.0,70.0
L. Owusu,"CDM, CM",900000.0,65,69,26,1,Right,1,3,181,73,60.0,36.0,55.0,61.0,62.0,68.0
C. Viet,"RM, CM, CAM",1000000.0,65,69,24,1,Right,3,3,181,75,71.0,41.0,62.0,67.0,59.0,67.0
L. Montsma,CB,900000.0,65,69,25,1,Right,3,2,191,84,53.0,34.0,48.0,56.0,64.0,71.0
M. Rittmüller,"RWB, RB",950000.0,65,69,24,1,Right,3,2,178,79,80.0,43.0,57.0,63.0,61.0,62.0
D. Vizinger,ST,1000000.0,65,69,25,1,Right,4,2,181,72,70.0,67.0,53.0,64.0,28.0,66.0
J. Assehnoun,"LM, RM",1000000.0,65,69,24,1,Right,4,4,175,73,71.0,60.0,60.0,70.0,35.0,67.0
P. Sutter,RB,950000.0,65,69,24,1,Right,2,2,172,72,70.0,53.0,58.0,61.0,62.0,57.0
A. Magashy,"CAM, CM",1000000.0,65,69,25,1,Right,3,3,171,74,79.0,60.0,59.0,67.0,60.0,77.0
Wenderson,"CM, LM",1000000.0,65,69,24,1,Right,4,4,174,75,83.0,55.0,62.0,70.0,52.0,65.0
S. Herrera,"ST, CAM",1000000.0,65,69,23,1,Right,3,3,178,73,68.0,67.0,62.0,65.0,36.0,57.0
D. Afriyie,"LM, CF",1000000.0,65,69,22,1,Right,2,3,165,69,84.0,56.0,55.0,70.0,36.0,46.0
J. Golz,GK,800000.0,65,69,24,1,Right,3,1,187,80,,,,,,
D. Tiefenbach,"CDM, CM",925000.0,65,69,23,1,Right,3,2,180,75,67.0,51.0,58.0,67.0,64.0,60.0
W. Peña,"LM, ST",1000000.0,65,69,22,1,Right,3,3,178,71,76.0,61.0,58.0,64.0,21.0,65.0
H. Ancajima,"RWB, RB",925000.0,65,69,25,1,Right,3,2,180,80,63.0,49.0,53.0,63.0,61.0,67.0
G. Zuma,"CDM, CM",925000.0,65,69,24,1,Right,3,2,170,68,62.0,52.0,59.0,61.0,61.0,68.0
P. Demjén,GK,,65,69,25,1,Right,1,1,186,78,,,,,,
B. Utvik,CB,800000.0,65,68,27,1,Right,3,2,183,75,41.0,37.0,48.0,52.0,65.0,72.0
S. Londoño,GK,650000.0,65,68,28,1,Right,3,1,186,70,,,,,,
N. Leiva,"CM, CAM, CF",925000.0,65,68,26,1,Right,3,4,170,66,82.0,66.0,66.0,70.0,48.0,58.0
B. Sørmo,"CB, RWB, LWB",825000.0,65,68,26,1,Right,3,3,187,85,73.0,40.0,55.0,62.0,62.0,76.0
G. Mutombo,CB,800000.0,65,68,27,1,Left,2,2,191,75,36.0,26.0,45.0,41.0,65.0,74.0
D. Crowley,"CAM, CF",950000.0,65,68,25,1,Right,3,3,170,71,76.0,60.0,67.0,67.0,45.0,47.0
J. Ortmark,CM,950000.0,65,68,25,1,Right,3,3,176,77,67.0,58.0,64.0,68.0,59.0,65.0
A. Murillo,"CB, LB",800000.0,65,68,27,1,Left,2,2,183,82,52.0,39.0,45.0,45.0,65.0,73.0
W. Caddy,ST,950000.0,65,68,26,1,Right,2,3,183,83,81.0,63.0,49.0,66.0,28.0,67.0
A. Confais,"CDM, RB, CM",850000.0,65,68,26,1,Right,2,3,174,61,56.0,55.0,62.0,64.0,63.0,58.0
J. Valencia,"CDM, CM",850000.0,65,68,26,1,Right,3,2,172,75,69.0,52.0,61.0,67.0,61.0,62.0
S. Pontisso,"CM, CDM",925000.0,65,68,26,1,Right,3,2,184,75,66.0,58.0,64.0,64.0,63.0,72.0
M. Lund,CB,800000.0,65,68,27,1,Right,3,2,183,87,55.0,36.0,50.0,61.0,65.0,73.0
C. McCarthy,CB,850000.0,65,68,25,1,Right,3,2,193,89,56.0,28.0,49.0,51.0,65.0,73.0
M. Butcher,"CM, CDM",925000.0,65,68,26,1,Left,3,2,188,83,58.0,62.0,63.0,62.0,62.0,76.0
A. Iacovitti,CB,850000.0,65,68,25,1,Left,3,2,193,86,68.0,35.0,51.0,51.0,63.0,77.0
Hwang Mun Ki,"CM, RW",925000.0,65,68,26,1,Right,3,3,176,70,70.0,55.0,63.0,67.0,54.0,58.0
M. Poaty,"LWB, LB, LM",875000.0,65,68,25,1,Left,2,3,177,75,86.0,49.0,52.0,65.0,60.0,73.0
M. Browne,"LW, LM, CAM",950000.0,65,68,25,1,Right,3,4,179,74,83.0,59.0,60.0,67.0,28.0,61.0
M. Remacle,"CM, CDM",925000.0,65,68,26,1,Right,4,3,176,73,64.0,62.0,66.0,66.0,58.0,64.0
P. Lagemyr,"CAM, LW, ST",925000.0,65,68,26,1,Right,3,3,167,58,79.0,57.0,63.0,70.0,32.0,41.0
H. Ravas,GK,725000.0,65,68,25,1,Right,2,1,195,87,,,,,,
K. Endo,"LW, CAM",950000.0,65,68,25,1,Right,4,3,175,70,67.0,54.0,64.0,69.0,46.0,57.0
S. Ezatolahi,"CDM, CM",850000.0,65,68,26,1,Right,3,2,190,78,60.0,58.0,60.0,62.0,61.0,72.0
J. Ayunga,"ST, RW",950000.0,65,68,26,1,Right,3,2,185,78,77.0,63.0,55.0,62.0,37.0,74.0
G. Fechner,"CDM, RWB",850000.0,65,68,25,1,Right,3,2,189,82,65.0,40.0,55.0,57.0,64.0,75.0
H. Clifton,"RM, CM, LM",950000.0,65,68,25,1,Right,3,2,180,76,72.0,57.0,59.0,63.0,58.0,73.0
M. Funk,GK,700000.0,65,68,27,1,Right,3,1,187,88,,,,,,
B. Güngördü,GK,700000.0,65,68,27,1,Right,2,1,190,84,,,,,,
T. Vlietinck,"RB, RM",875000.0,65,68,25,1,Right,4,3,180,62,77.0,57.0,63.0,67.0,60.0,55.0
J. Knight,CB,850000.0,65,68,25,1,Right,2,2,185,78,57.0,52.0,51.0,57.0,65.0,73.0
H. Abdallah,ST,950000.0,65,68,25,1,Right,2,2,187,81,76.0,63.0,56.0,65.0,29.0,71.0
R. Preißinger,"CDM, CM, CAM",850000.0,65,68,26,1,Left,3,2,185,78,67.0,56.0,59.0,62.0,61.0,78.0
A. Sicker,"LB, LM",850000.0,65,68,26,1,Left,3,2,184,67,83.0,32.0,57.0,64.0,57.0,59.0
M. Kos,GK,725000.0,65,68,26,1,Right,3,1,183,80,,,,,,
L. Bünning,"CB, LB",850000.0,65,68,25,1,Left,2,2,187,79,84.0,41.0,55.0,55.0,63.0,70.0
A. Madibo,"CDM, CM",,65,68,26,1,Right,2,2,168,72,82.0,38.0,53.0,61.0,65.0,75.0
J. Doyle-Hayes,"CM, CDM",975000.0,65,68,24,1,Right,3,2,175,68,69.0,58.0,64.0,67.0,61.0,66.0
M. Clark,"RWB, RB",900000.0,65,68,24,1,Right,2,2,173,68,72.0,44.0,57.0,62.0,58.0,67.0
Chuca,"CAM, CM",925000.0,65,68,26,1,Right,3,3,182,75,55.0,59.0,62.0,67.0,52.0,54.0
A. Ouahim,"CAM, CM",950000.0,65,68,25,1,Right,3,3,175,66,75.0,56.0,60.0,72.0,36.0,52.0
L. Buades,"RWB, RM",875000.0,65,68,25,1,Right,3,3,180,75,72.0,56.0,57.0,64.0,58.0,64.0
Y. Nazaryna,"CM, CDM",950000.0,65,68,25,1,Right,3,3,183,75,69.0,57.0,67.0,67.0,58.0,64.0
M. Virtue,CM,925000.0,65,68,26,1,Right,3,2,175,66,67.0,57.0,60.0,66.0,62.0,65.0
M. Toye,ST,1000000.0,65,68,24,1,Right,5,2,191,82,72.0,69.0,44.0,61.0,30.0,63.0
M. Behrens,GK,725000.0,65,68,26,1,Right,3,1,193,89,,,,,,
D. Sváček,GK,725000.0,65,68,26,1,Right,2,1,190,87,,,,,,
B. Michel,"LM, ST, RM",950000.0,65,68,25,1,Right,2,3,178,75,90.0,64.0,53.0,64.0,22.0,58.0
D. Gugganig,CB,825000.0,65,68,26,1,Left,2,2,192,65,50.0,36.0,48.0,46.0,66.0,67.0
E. Florescu,"CM, CDM",925000.0,65,68,26,1,Left,3,3,188,69,69.0,66.0,65.0,65.0,53.0,61.0
J. Dawa,CB,800000.0,65,68,27,1,Right,2,2,192,92,70.0,45.0,41.0,43.0,62.0,81.0
J. Rosso,"CM, RWB, RB",925000.0,65,68,26,1,Right,2,2,179,72,71.0,56.0,65.0,65.0,60.0,60.0
Migue Leal,"RB, RM, RWB",850000.0,65,68,26,1,Right,3,2,176,71,63.0,45.0,60.0,63.0,62.0,64.0
Á. Benítez,"CDM, CB",825000.0,65,68,27,1,Right,2,2,183,76,62.0,32.0,57.0,52.0,62.0,67.0
Miguel Berry,ST,950000.0,65,68,25,1,Right,4,2,190,82,70.0,62.0,48.0,65.0,27.0,68.0
D. Oancea,"RB, LWB, RWB",850000.0,65,68,26,1,Right,2,2,175,70,78.0,49.0,58.0,64.0,58.0,64.0
E. Chislett,"RM, CM, LM",975000.0,65,68,24,1,Right,3,3,178,70,74.0,59.0,63.0,65.0,52.0,61.0
J. Marchán,"CAM, CM",975000.0,65,68,24,1,Left,3,3,170,58,79.0,59.0,57.0,72.0,27.0,33.0
M. Vorobjovas,"CDM, CM",825000.0,65,68,27,1,Right,3,2,177,75,67.0,53.0,60.0,61.0,60.0,74.0
A. Al-Ammari,CM,950000.0,65,68,25,1,Left,3,2,184,70,68.0,57.0,65.0,64.0,60.0,73.0
F. Jaritz,"LM, ST",950000.0,65,68,25,1,Left,3,3,180,70,69.0,58.0,62.0,66.0,58.0,60.0
Álex Petxa,"RB, CB",850000.0,65,68,26,1,Right,3,2,179,67,70.0,49.0,62.0,60.0,60.0,66.0
E. Mancuso,"RB, RWB",900000.0,65,68,24,1,Right,2,2,171,80,71.0,35.0,59.0,67.0,60.0,63.0
E. Boateng,CM,925000.0,65,68,26,1,Right,3,2,174,66,69.0,53.0,67.0,63.0,56.0,60.0
B. Cuello,"LM, RM",950000.0,65,68,25,1,Right,3,3,170,66,78.0,64.0,61.0,66.0,31.0,62.0
B. Bentaberry,"CB, RB, LB",825000.0,65,68,26,1,Right,3,2,184,76,76.0,42.0,57.0,62.0,63.0,72.0
A. Schmid,ST,1000000.0,65,68,24,1,Right,3,2,183,75,68.0,63.0,47.0,67.0,17.0,67.0
G. Carriero,CM,950000.0,65,68,25,1,Right,4,3,175,70,67.0,57.0,65.0,68.0,55.0,64.0
Ž. Žužek,CB,825000.0,65,68,26,1,Right,3,2,186,79,71.0,33.0,47.0,50.0,65.0,64.0
D. Rodríguez,"RM, LM, RW",950000.0,65,68,25,1,Right,3,3,176,68,73.0,63.0,58.0,67.0,26.0,65.0
L. Abascia,CB,800000.0,65,68,27,1,Right,2,2,181,78,51.0,35.0,43.0,45.0,66.0,71.0
F. Pittarello,ST,950000.0,65,68,26,1,Right,3,3,192,88,69.0,64.0,58.0,60.0,45.0,74.0
Cris Montes,"CM, LM, RM",950000.0,65,68,25,1,Left,3,4,163,60,70.0,59.0,64.0,69.0,51.0,57.0
S. Altunashvili,"CM, CDM, CAM",925000.0,65,68,26,1,Right,3,2,169,63,66.0,58.0,66.0,67.0,60.0,56.0
L. Chaverra,RB,850000.0,65,68,26,1,Right,2,2,175,70,78.0,29.0,47.0,62.0,58.0,69.0
A. Golubović,GK,700000.0,65,68,27,1,Right,1,1,186,80,,,,,,
Rodrigo Escoval,CB,825000.0,65,68,26,1,Right,2,2,188,82,66.0,29.0,50.0,43.0,66.0,64.0
O. Dadia,"RB, CDM, RWB",875000.0,65,68,25,1,Right,3,2,184,76,64.0,39.0,57.0,63.0,65.0,58.0
A. Busnić,CDM,850000.0,65,68,25,1,Right,3,2,191,80,63.0,49.0,58.0,54.0,64.0,72.0
L. Maniero,GK,600000.0,65,67,28,1,Right,3,1,187,80,,,,,,
T. Casali,GK,650000.0,65,67,27,1,Right,3,1,193,83,,,,,,
E. Salles,GK,600000.0,65,67,29,1,Right,2,1,187,78,,,,,,
Vinicius Silvestre,GK,600000.0,65,67,29,1,Right,2,1,195,84,,,,,,
D. van Bruggen,CB,750000.0,65,67,27,1,Right,3,2,184,79,64.0,55.0,50.0,55.0,63.0,71.0
K. Wootton,ST,900000.0,65,67,26,1,Right,3,2,188,78,68.0,62.0,47.0,63.0,26.0,82.0
G. Gazzaniga,GK,600000.0,65,67,29,1,Right,4,1,186,85,,,,,,
J. McGrath,"CM, RW, CAM",875000.0,65,67,26,1,Right,4,3,175,71,73.0,63.0,62.0,69.0,58.0,62.0
T. Moore,"CB, RWB",775000.0,65,67,26,1,Right,3,2,184,80,61.0,37.0,59.0,59.0,64.0,72.0
C. Verdonk,"CB, LB",775000.0,65,67,26,1,Left,4,2,174,69,73.0,56.0,65.0,66.0,65.0,63.0
K. Soni,"ST, CF",900000.0,65,67,25,1,Left,3,3,183,76,74.0,60.0,59.0,69.0,42.0,67.0
A. Hayden,CB,775000.0,65,67,26,1,Right,3,2,185,79,67.0,30.0,44.0,52.0,63.0,76.0
M. Egbo,"RWB, RB",825000.0,65,67,25,1,Right,3,2,180,74,79.0,40.0,58.0,64.0,58.0,70.0
W. Collar,CM,875000.0,65,67,26,1,Right,2,2,181,76,66.0,62.0,61.0,65.0,60.0,75.0
R. Cundy,CB,775000.0,65,67,26,1,Right,3,2,189,82,55.0,26.0,40.0,47.0,65.0,70.0
D. Schad,"RWB, LWB",800000.0,65,67,26,1,Right,3,2,176,68,75.0,40.0,54.0,62.0,58.0,62.0
F. Horsfall,CB,775000.0,65,67,26,1,Right,3,2,190,82,54.0,33.0,43.0,43.0,64.0,80.0
R. Jensen,CB,750000.0,65,67,27,1,Left,3,2,185,78,56.0,43.0,53.0,61.0,65.0,72.0
C. O'Keeffe,"RWB, RM",825000.0,65,67,25,1,Right,4,3,184,70,82.0,54.0,59.0,63.0,55.0,76.0
S. Johansen,CB,750000.0,65,67,27,1,Right,2,2,192,86,53.0,31.0,37.0,49.0,64.0,76.0
R. Kaib,LB,800000.0,65,67,26,1,Left,2,2,178,63,74.0,46.0,63.0,65.0,58.0,64.0
G. Villar,GK,600000.0,65,67,28,1,Right,2,1,192,79,,,,,,
T. Archibald,"RM, RW, LWB",900000.0,65,67,25,1,Left,3,3,180,75,79.0,60.0,59.0,64.0,54.0,66.0
S. Ingolitsch,RB,800000.0,65,67,26,1,Right,3,2,179,72,71.0,41.0,58.0,62.0,62.0,60.0
I. Paro,CB,725000.0,65,67,28,1,Right,2,2,184,79,63.0,30.0,56.0,49.0,65.0,72.0
B. Öztürk,CB,750000.0,65,67,27,1,Right,2,2,185,75,39.0,31.0,43.0,46.0,67.0,68.0
O. Kwabena,"ST, CAM",900000.0,65,67,26,1,Right,3,2,182,73,78.0,64.0,55.0,65.0,26.0,58.0
M. Adams,"CDM, CM",800000.0,65,67,26,1,Right,2,2,168,70,63.0,48.0,52.0,62.0,65.0,69.0
D. Saddiki,"CDM, CM",800000.0,65,67,26,1,Right,3,2,179,70,76.0,54.0,58.0,62.0,64.0,75.0
Kim Min Duk,CB,775000.0,65,67,26,1,Right,3,2,183,78,59.0,29.0,38.0,47.0,66.0,70.0
Y. Ben Balla,"CDM, CM",775000.0,65,67,27,1,Right,3,2,181,72,66.0,51.0,52.0,60.0,63.0,67.0
S. Kersten,CB,800000.0,65,67,25,1,Right,3,2,191,79,56.0,44.0,49.0,47.0,64.0,74.0
K. Kirkegaard,"LM, RM",900000.0,65,67,25,1,Right,3,3,174,70,75.0,61.0,61.0,65.0,35.0,56.0
P. Farquharson,CB,775000.0,65,67,26,1,Right,3,2,191,93,65.0,33.0,39.0,46.0,63.0,80.0
F. Agüero,CB,725000.0,65,67,28,1,Right,2,2,189,86,54.0,28.0,34.0,39.0,66.0,75.0
